Traffic_Type,Message Size (bytes),Rate (msps),Time between messages,Msg1,Msg2
BFT.txt,130.0,10000,0.0001,22:13:42.667429,22:13:44.667839
Body.txt,3906.0,10000,0.0001,22:57:15.133853,22:57:15.167557
Istage_3.txt,59578.5433940733,10000,0.0111,23:17:31.880739,23:17:31.880970
Istage_3_1.txt,59578.181818181816,10000,0.0025,23:20:34.592865,23:20:34.593087
Istage_3_2.txt,59578.876896149355,10000,0.0115,23:24:11.656820,23:24:11.657059
Istage_3_3.txt,59578.60102142376,10000,0.0101,23:28:50.040372,23:28:50.040616
Istage_3_4.txt,59578.79603169927,10000,0.0131,23:35:33.388553,23:35:33.388777
Istage_3_5.txt,59578.476954900725,10000,0.0104,23:37:31.605522,23:37:31.605753
Istage_3_6.txt,59578.181818181816,10000,0.0013,23:43:10.241834,23:43:10.242103
Istage_3_7.txt,59578.181818181816,1000,0.002,23:47:44.467671,23:47:44.467931
Istage_3_8.txt,59578.63330891084,10000,0.0102,23:49:06.318579,23:49:06.318800
UAV_CC.txt,156.0,10000,0.0001,23:52:53.578084,23:52:53.679164
UAV_telemery.txt,130.0,10000,0.0001,00:34:25.882253,00:34:27.882577
UAV_video.txt,3906.0,10000,0.0001,00:30:15.483235,00:30:15.517350
